label,statement
false,say oregon reps. peter defazio earl blumenau socialist openli serv u.s. congress
false,rudi giuliani `` probabl underqualifi man sinc georg bush seek presid ``
false,half presid governor ; half senat
true,britain vote leav european union within 24 hour american lost 100 billion 401 ( k )
true,medicaid spend declin 1.9 2012 second declin 47 year
true,88 texa constabl die line duti
true,"gov rick scott cut cost prepaid colleg tuition nearli 20,000"
true,citi columbu would save 41 million year employ contribut guaranteed-check pension
true,florida 's cfo shut krakow 's scam refund 1.2 million josephin victim con man
true,women get comput scienc degr 80 factor 2-plu
false,air forc want taxpay fund fantasi footbal leagu
false,barack hussein obama ... forc court accept islam sharia law domest disput
true,3 murder crime commit gun peopl actual ( legal ) purcha gun
true,neighborhood school close
true,told gay organ massachusett would stronger advoc special right even ted kennedi
true,year speaker florida hou consist offer leaner budget governor offer
false,"alreadi almost halfway 2010 goal creat 700,000 new job seven year"
true,u.s. suprem court found social secur guarant
false,saysmichael bennet want close guantanamo bay prisonand bring terrorist right colorado
true,oregonian amaz no-cost way fight abort free polit donat
false,"presid said go bring 250,000 ( syrian iraqi ) refug countri"
false,research show vast major arriv immigr today come believ govern sourc prosper support
true,newt gingrich immigr plan offer new doorway amnesti
false,mr. caprio career politician never work privat sector
false,rhode island 9 worker use state temporari disabl insur program year new jersey rate 3
true,17 year spend social secur feder health care interest debt exceed tax revenu !
true,presid obama took money wall street 2008 campaign anybodi ever
true,donald trump said nuclear prolif ok
true,"hillari clinton taken 800,000 lobbyist"
false,barack obama never even work busi
true,arizona immigr law expressli ban racial profil
false,gov rick perri beg feder govern send coast guard patrol two lake u.s.-mexico border
false,"va : 300,000 veteran die wait care"
true,spend 42 economi govern
false,rob cornil support privat medicar
false,2005 dan branch tri expand third-trimest abort texa
true,( democrat ) made steadi progress creat job improv school
false,michigan massachusett rai bottl deposit could longer afford program redempt high profit
true,whether like admit half gener revenu goe educ
false,im one fought develop drain everglad !
true,ron johnson call social secur ponzi scheme want privat program
true,"31 state 10,000 citi type polici pass refer north carolina hou bill 2"
false,climat chang directli relat growth terror
false,job bill includ presid obama tax soup kitchen
false,obama administr spent taxpay dollar electr car finland ( ) windmil china
true,sarah mayor wasilla tri fire highli respect citi librarian librarian refu consid remov librari book sarah want remov
true,milwauk approv reduc maximum forfeitur marijuana possess 50 citi would 23 differ bicycl violat higher forfeitur
false,illeg immigr five year ago
false,rick perri wrote letter support hillarycar
false,u.s. patent trademark offic receiv zero complaint washington redskin name
false,presid health care propo cau american premium increa decrea hundr million peopl lose current insur coverag
true,( mexican immigr ) law-abid u.s. citizen statist
true,chri christi veto job packag 30 bill
true,alreadi american job solar industri coal mine
true,illinoi gubernatori candid bill bradi first prioriti win primari sponsor bill would mass-euthan shelter dog cat ga chamber
true,barack obama economi worsen sinc presid unit state
true,romney fail take action `` sanctuari citi `` massachusett
true,"new jersey nearli 200,000 job pre-recess peak gov chri christi new jersey trail rest america come unemploy 12 consecut month"
false,thoma eric duncan came unit state elev temperatur
true,afghanistan longer foreign land conduct war nation histori
true,ga price gone 2 sinc obama took offic
true,webster sponsor bill creat form marriag would trap women abu relationship
true,judg get better benefit lower cost everybodi el state
true,lot casino across countri gone bankrupt
true,small busi creat 70 job america
true,senior coverag medicar advantag give `` share `` health care reform
true,"12,000 school kid arrest florida make florida nation leader area"
true,texa countri economi would rank # 10 ... world
false,oil rig oper unit state rest world combin
true,"payday lender profit poor charg 1,000-plu interest"
true,social secur trust fund sound without anyth done would function well 2038 ; even time chang could pay 80 benefit peopl earn
true,commit voter take seriou : incumb ohio break pledg vote ted strickland incom tax hike defeat soundli tuesday
false,obama administr shut amber alert program govern shutdown
true,republican 2 muslim vote
true,[ w ] e see america prison popul explod america greater percentag peopl behind bar nation world !
false,hear rep. gabriel gifford suggest gen. david petraeu armi put emphasi less environ damag method like stab club enemi forc order minim carbon output
true,"everi singl one 41 republican senat block rai minimum wage receiv 2,800 cost-of-liv adjust januari 1 2015"
true,texa 1 name new male babi mani vote one day jose
true,marco rubio vote author presid obama strike syria assad use chemic weapon peopl
false,"cash clunker program 've got ... go local junkyard 've got tow hou 're go get 4,500"
false,one republican gut recogn climat chang real
true,peopl work longer hour lower wage almost new incom goe top 1
false,david dewhurst record promot incom tax
true,point pleasant beach beach ; privat oper busi jenkinson
false,past year 20 american chang mind war afghanistan conclud n't
false,"last five year 28,000 peopl kill along u.s.-mexico border"
false,state ohio one lowest unemploy rate nation right lead pack term job creation
false,obama health reform law deni million access afford insur
false,hb2 hasnt move needl one iota north carolina economi
false,close 30 % feder prison popul consist illeg immigr
false,rick scott call educ core function state
false,famili research council accord govern agenc terrorist group
true,"rep. jim weidner propo bill take away health care 80,000 oregon children"
true,1985 elect former gov tom kean largest win margin gubernatori candid jersey histori
false,obamacar biggest tax increa american histori
true,... said barack obama readi command chief
true,median male worker countri seen rai inflat adjust 30 year basic
false,milwauk mayor tom barrett held line properti tax
true,im member hou repr rai campaign fund last elect small contribut less 200
true,unlik gridlock washington 80 bill pass gener assembl bipartisan support
false,josh mandel lie record rate ohio invest fund improv
true,"rick scott took 200,000 famili lea land drill tri hide"
true,money possibl lea ohio turnpik would use
true,begin last decad ... america budget surplu 200 billion time took offic one-year deficit 1 trillion project deficit 8 trillion next decad
true,"presid 1,540 nomin confirm four defeat"
true,u.s. taxpay forc fund feisal abdul rauf trip middl east
false,"milwauk counti taxpay paid 370,000 settl lawsuit deci sheriff david a. clark jr. use untrain correct offic rather deputi patrol lakefront"
true,justic depart polici fbi director jame comey discuss detail feder investig close elect
true,democrat presid `` consid effect creat private-sector job ``
true,joe biden `` vote first gulf war oppo surg want partit iraq ``
false,rush limbaugh made clear hed rather see countri fail presid barack obama succeed
true,one american peopl make 21 incom america wasnt way georg bush becam presid
true,militari `` recruit went harvard everi singl day throughout time ( kagan ) ``
true,rick perri plan texa cut fund public school 25 %
true,david perdu want abolish u.s. depart educ would cost georgia school 1 billion year elimin million student loan
true,paul ryan budget propo would privat medicar
true,high school student arrest campu twice like graduat four time less like graduat theyv appear court
true,unit state imprison nation world
false,marco rubio one open border
true,... 30 year feder spend educ grown 375 test score remain flat
false,cut medicar affect peopl alreadi paid paid
false,david alameel give thousand dollar support republican parti candid includ john cornyn greg abbott
true,american healthcar system burn 18 nation gdp nobodi el close
false,provid port 200 mile closer europ eastern port
true,need photo id purcha sudaf texa
true,twenti hou portland pearl district afford
true,"allow payrol tax holiday expir would end cost anoth estim 900,000 job 2012"
true,hillari clinton support nafta perman china trade pennsylvania lost thousand job
true,numer studi shown so-cal right-to-work law gener job econom growth
true,obama 's budget plan would take nation debt 80 gross nation product ... histor 's 40
false,hillari clinton said veteran affair scandal over-exagg said satisfi go
false,driven ( health care ) cost lowest theyv 50 year
true,presid barack obama 's `` initi respon heard christma underwear bomber `` say `` act isol extremist ``
true,sen. sherrod brown admit 787 billion stimulu law fail specif attack republican want lower american tax ( ) claim stimulu bill didnt enough lower tax
true,1950 `` lot peopl got rich pay top tax rate 90 ``
true,charleston s.c. shootershould never given gun univ background check fast enough
false,sixty-f iraqi peopl say 's okay shoot american soldier
false,twelv judg thrown legal challeng health care law reject notion health care law unconstitut
true,gov chri christi propo reduc state incom tax would second tax cut rich governor two year
true,warren ( buffett ) still support
true,georg lemieux one two republican vote presid barack obama job bill
false,precinct allen west-patrick murphi recount 7 regist voter guatemalan commun talli show 900 vote ! ! ! ! !
true,"230,000 peopl unemploy took offic unemploy"
false,one person kathleen sebeliu go determin whether 10-year-old lung patient sarah murnaghan would live die
false,ron klein repeatedli vote favor amnesti illeg immigr
false,local law enforc access [ obamacar ] data hub treasur trove person info
true,tenur mayor saw houston crime rate drop lowest level 25 year
false,barack obama columbia univ id foreign student went barri soetoro
false,john mccain `` one richest peopl senat fill millionair `` solut hou crisi peopl get `` second job `` `` skip vacat ``
false,"terri mcauliff want rai tax 1,700 pay infinit promi"
true,"hypocrisi clinton foundat : top male staff made averag 218,029 top femal staff made 153,014 2010-2014"
true,sinc feder violenc women act adopt 1994 case domest violenc fallen 67
true,feder law enforc offic cut question christma day underwear bomber give miranda warn 30 minut question
true,legal illeg immigr
true,nearli half pregnanc u.s. unintend
true,`` borrow saudi money saudi oil `` result `` depend debt ``
true,"home sale around ( oswego lake ) right 150,000 anyon welcom buy"
true,"sinc presid becam presid lost 3.3 million job privat sector know done ok complain today ? public sector weve gain 590,000 public sector job"
false,top 1 pay half entir revenu countri
false,differ ( previou ) four year thing head brought last four year total 816 save properti tax money
true,chri christi increa tax anyon
false,unit state system grower dairi bring workforc legal u
false,never said would keep educ fund
true,sinc 1978 colleg tuition nationwid gone someth like four time rate inflat
true,sen rob portman said would irrespon cut medicar
true,[ dekalb school construct ] project alway came budget
false,( palin ) support right-w extremist pat buchanan presid 2000
false,sen. sherrod brown vote block american energi product increa energi tax
false,jeann shaheen vote measur would amount new nation energi tax
true,washington d.c. strictest gun law countri pass violenc skyrocket
true,seven presid ( barack obama ) -- republican democrat -- tri expand health care american
false,fight move toughen penalti workplac gender discrimin state sen. glenn grothman said didnt believ women belong workplac belong home cook clean babi
false,"put 47 billion revenu ( rai 10 year buffett rule ) infrastructur could creat 611,000 infrastructur job"
false,proper collect noun group baboon ? believ congress !
true,repeatedli said mani predatori loan made mortgag system target african-american latino commun
true,"start decemb 2007 1.4 million job creat texa period rest countri lost 400,000 job"
false,( health reform ) legisl washington pass last year made difficult hire increa cost employ
false,"cbo congress budget offic said obamacar kill 800,000 job"
false,"thompson `` vote 250,000 cap damag ( ) almost anyth would make legal system fairer ``"
false,texa fiscal year money reserv 49 state combin
false,use strateg petroleum reserv
true,immigr fertil
true,propo educ chang `` cut one teacher 's pay ``
false,number uninsur peopl massachusett mandat pass 2006
true,firearm homicid 40 sinc texa pass concealed-gun permit law
false,upward 90 women seek abort decid abort see ultrasound
false,spend less defen today % gdp time sinc pearl harbor
true,got rid incom tax today 'd much revenu 10 year ago
true,scott walker want ban common form birth control includ pill
false,jason kander support [ obama ] plan bring remain suspect terrorist u.s. soil
true,shelbi counti donat im sorri gave 44 school citi memphi
true,top u.s. intellig offici toldeveri member congress includ presid attack seriou way ( ) threat eman syria iraq
true,suburb inund former resid atlanta hou project ? absolut
true,juli 1996 mitt romney help locat miss teenag daughter partner bain capit
false,blame mike mcintyr nanci pelosi second straight year cost-of-liv increa social secur beneficiari
false,govern go right get bank account health care bill make transfer without know
true,mechan place shut internet privat
false,american peopl support defund obamacar oppo shut govern
true,report # gop insist chang social secur part # fiscalcliff fal btw chang support @ barackobama
true,nobodi play clip ... presid obama ( say ) bring knife fight well bring gun
false,peopl rhode island dont want same-sex marriag
true,rep. paul ryan medicar plan line pocket privat insur compani increa cost senior reduc deficit
false,year congress ( conni mack iv ) miss almost half vote
false,1/3 kid drop ( high school ) go colleg start career
false,even old gen. eisenhow salut militari personnel presid
true,wisconsin governor cut perquisit much plan would still leav ( worker ) better privat sector counterpart
false,"cant get airplan 2,000 peopl list abl buy gun"
false,74 republican support afford care act
true,everi 1 spent afterschool program save 5 almost 6 crime cost line
true,feder govern 3 trillion cash flow pay bill wont default
false,alex sink fail florida homeown use predatori lend practic
false,40 small mid-siz bank loan money small busi wipe sinc dodd-frank pass
false,cant check librari book without photo id
false,starbuck took christma brand new cup
true,atmosph condit could push footbal pressur approxim one-and-a-half pound per squar inch
false,hillari clinton support unlimit abort demand moment birth includ partial-birth abort taxpay fund
true,legisl clear georgia hou children legal refug could obtain state scholarship attend privat school
true,"went lose 3 million job last six month bush administr ad almost 600,000 privat sector job first six month year"
true,star ohio fund receiv highest possibl credit rate one fund receiv
true,taxpay hook ... less third propo new atlanta falcon stadium fund repaid money come outsid
true,last 22 month busi creat 3 million job last year creat job sinc 2005
true,everi year 40 million leav missouri lone star state
true,colleg loan loan unit state refin interest rate go
true,hou repr never pass resolut disapprov condemn member 's behavior
true,younger competitor entir immigr
true,recent intern report show unit state near bottom among industri nation k-12 academ achiev
true,24 million peopl countri cant find full-tim job 50 million cant see doctor theyr sick 47 million peopl need govern help feed 15 million famili owe valu home
true,polici mistak ... clinton made got us larg degr situat today mass incarc
false,rai averag famili incom 50 tenur arkansa governor
true,tri give us 400 million build high-sp train goe 39 mile hour
true,"cbo estim fulli extend bush tax cut would add 600,000-1.4 million job 2011 900,000-2.7 million job 2012"
true,presid reagan ( rai debt ceil ) 18 time georg w. bush seven time
true,accord david cay johnston averag american pay 22 incom feder tax richest 400 american pay 16 incom feder tax
false,young american right theyr cover health insur
true,1952 corpor incom tax account 33 feder tax revenu today despit record-break profit corpor tax bring less 9
true,last 10 year texa creat 33 net new job nationwid
false,two-third group target ir scrutini conserv
false,class 1968 patric lumumba univ moscow mahmoud abba one member class ali khamenei first establish relationship young vladimir putin
true,last week texa state board educ ( sboe ) led rick perri appoint vote remov thoma jefferson social studi textbook standard right thoma jefferson ... delet list histor figur inspir polit chang
false,u.s. senat salari perk ‪ # bernie‬ top 1 still paid 13 tax last year
true,"know ca n't pull ... truth matter : start today would take one year one year get 160,000 troop physic iraq logist"
true,2013-2015 richest 14 american increa net wealth 157 billion yet republican budget would requir american contribut one penni deficit reduct
true,foster mayor rick kriseman ineffect florida hou repr legisl pass hou ( kriseman ) name
true,texa routin get lot feder spend pay tax
false,cell phone number go public month
false,offer 12 million save 2011 184 million save next 25 year contract negoti citi milwauk
false,clackama counti commiss approv re-negoti agreement lower counti contribut trimet portland-milwauki light rail project 19.9 million 25 million
true,texa 11 differ feloni commit oyster
false,obama administr unwind nation welfare-to-work requir
true,"electr car sale georgia drop dramat sinc 5,000 tax credit elimin 200 annual registr fee impo juli 1"
true,redskin train camp deal gener 40 million new privat invest citi
true,gop budget plan would cut nearli million job
true,peopl live countri born anytim histori countri
true,hillari clinton defend syria presid assad possibl reform start countri civil war
true,postal servic financ loss result 2006 law drain 5 billion year post offic revenu postal servic forc overpay billion feder account
true,mani six feder depart budget bill delay opposit amend would ban confed battl flag sale feder build gift shop
false,vote 60 tax increa hurt middl class small busi
false,hou repr 40 differ job bill pass almost bipartisan
false,sheila jackson lee texa said : hey wrinkli white-ag has-been : time die let next gener spot planet
false,republican ( small busi tax cut ) bill spend 80 million better googl search job creation
true,2013 state law would allow oper iron ore mine northern wisconsin fill pristin stream pond mine wast
false,america one highest-tax nation world
false,black america countri itd 15th wealthiest nation world
true,sinc republican took 2010 elect graduat rate wisconsin gone 86 88 black graduat rate gone 60 65 latino graduat rate gone 65 71
false,estim nearli 40 gun sold america sold privat unlicen seller either onlin gun show
true,2008 deadliest year war ( afghanistan ) american forc
true,"florida teacher `` alreadi paid 5,000 nation averag ``"
true,sinc rick perri becam governor texa gone 46th countri 50th popul graduat high school
true,amanda fritz manag less 5 citi oper
true,streetcar project plan mayor tom barrett would 1900 style trolley
true,american last 30 year doubl amount money spend per child ( educ ) result gotten wor better
false,poll show floridian dont want repeal afford care act
false,congressman bill pascrel vote remov public option afford health care act
true,lawmak paid off-season effort first time take lead draw border two would-b citi
false,greg abbott surrog refer women victim rape incest though somehow confront minor issu
true,offshor drill energi
false,propo medic marijuana amend florida dont get refil -- get forev
false,data-stor microchip `` would implant major peopl opt becom cover public health care option ``
true,enact right-to-carri act would amount expand right sex offend terrorist child predat abu carri conceal weapon across state line
true,n't miss vote sinc 1993
false,treasur offic save 37 million manag cost oversight public invest
true,georgia send state money per child state charter school budget cut appli charter school
false,jorg elorza want impo municip incom tax
false,suprem court cant overrul two branchesof govern
false,roughli 25 % ri crimin record
true,"nathan deal cut hope scholarship program liter 100,000 georgian abl go colleg get technic train badli need rai -- know give chanc good job"
true,governor arkansa cut tax fee almost 100 time save taxpay almost 380-million left surplu nearli 850-million
true,havent rai tax time ive governor new jersey
false,massachusett public school teach kid young kindergartn gay marriag
false,'m probabl one four five best-known american world
false,accept legal immigr ever histori ( unit state )
true,congress bewild scope reach spi apparatu 2008 2012 explicitli reject amend call disclosur
true,six peopl florida die result ( expand medicaid ) everi day
true,gov maggi hassan budget propo rai tax small busi increa tax fee 100 million
false,washington would politician spend 27 million teach moroccan make potteri
true,hillari clinton `` start 47 countri ``
false,saysrand paulha put budget cut militari half
true,group receiv foreign money spend huge sum influenc american elect
true,legisl cut mean texa spend averag 500 less per student
true,[ ] current rate presid obama ad debt unit state america end first term previou 43 presid -- combin !
true,know saudi arabia start al-qaida
true,williamson counti attorney jana duti never prosecut singl adult feloni case
false,fundrai number grassroot support unmatch !
true,issu 2 make illeg us negoti enough firefight job
true,although unemploy rate seem improv reflect real job creation -- cau shrink actual labor forc
false,gov scott walker hire convict assembl speaker scott jensen overs raid state employ retir system help balanc state budget
false,obama vote `` cut fund american troop battlefield ``
true,gener appear wisconsin right work bill would like appli green bay packer player union
true,so-cal defen minist peopl republ donetsk ... actual post brag social media post shot militari transport becam appar civilian pull social media
true,democrat kind fall see rai tax faster look like 're go rai tax anywh 20 30
true,right one highest job growth sector leisur hospit weve ad job mostli fall within restaur bar sector industri high-pay job u.s. depart labor estim industri sector lowest averag wage lowest proport workforc earn minimum subminimum wage job
false,gov scott walker bought 80 new brand-new vehicl state probabl dont need
true,pass eight measur includ one prevent grope airport secur check bar sanctuari citi texa
false,gotten point averag feder worker make twice much averag privat sector worker
false,15 polit appoint ( ipab ) make major health care deci 300 million american
false,store bar sell 100-watt light bulb 2012
true,last three presid go back 1800 earli 1800 find three presid row consecut re-elect
false,jason carter support use georgia tax dollar promot obamacar
true,recent associ press poll nader-gonzalez 6 without nation coverag mccain obama
true,dan patrick said women get paid less man job problem
true,"weve got averag 5,600 soldier commit suicid 20 day"
false,even republican congressmen said give us money dont know would even put addit border patrol agent
true,today first time fifteen year master lock union plant milwauk run full capac
true,tom reed actual vote everi singl trade deal ever come form
false,isi camp mile texa mexican author confirm
false,new feder project estim health care overhaul cost 1.76 trillion 10 year -- well 940 billion democrat origin claim
false,say new jersey reps. donald payn frank pallon socialist openli serv u.s. congress
false,unemploy rate may high 42
true,common core feder govern fingerprint thing
false,social secur ind ponzi scheme
false,scott walker brag lot independ agenc investig polic shoot cour didnt fund
true,arizona law make state crime someth alreadi ... feder crime
false,countri found congress exactli attitud sanctiti christma celebr 7-eleven today : yeah open
true,miami-dad counti spend school system 20 million everi year educ recent immigr
false,omnibu bill 3.8 billion earmark
true,trump propo enact largest tax increa american histori
true,senat mccain talk tough earmark 's good earmark account 18-billion budget
true,kim myer vote repeatedli rai tax peopl broom counti made million tax save famili busi reloc headquart
true,california prop 60 would requirecondom usein adult film would put worker adult film industri riskfor lawsuit harass
true,pay among highest toll nation privileg cross bridg
true,"sen isakson chambliss vote unemploy insur vote kill nearli 6,000 georgia job"
false,real estat tax put place pay obamacar
true,today unemploy run near 12 last four year legislatur hasnt done much lower
false,kay bailey hutchison vote sanctuari citi
true,john mica vote borrow 10 trillion
false,oppon mari burk told report would requir worker give bargained-for healthcar retir benefit like gov walker
true,mccain `` hire biggest lobbyist washington run campaign ``
false,want rai anybodi tax rate never tabl
true,terrorist kill 250 american lebanon ronald reagan democrat didnt make partisan issu
true,first time parti pick multipl seat regular elect sinc mid 1980 make largest major parti 25 year
false,john n't rage populist four year ago ran presid
true,hou republican complain didnt enough time consid constitut ban oil drill shove propo day open state water oil drill
false,one bush famili attend 2012 republican nation convent presid bush 2008 convent
false,crime rise
true,( flint mich. ) pay three time poison water pay burlington vt. clean water
false,weve got person tax system complic cost american 500 billion year compli current tax code
false,portland school give muslim student school provid prayer room prayer rug let class five time day pray allah
false,( texa republican ) believ abolish social secur abolish v.a health care
true,bulk peopl shot weapon drug gang take one anoth end shot weapon
false,case gener motor ( bush ) administr wrote check without ask condit chang
true,salari uri faculti second last among new england land grant univ lowest 20 major u.s. research institut
false,miami congressman carlo curbelo support drill offshor repeatedli vote presid obama abil fight pollut combat climat chang
false,presid candid obama ask disclo donor suspicion foreign sourc money campaign refu
false,oregon state 50 state usa continu pay 100 % medic benefit employ famili
false,wonder dont see rand paul much ; still shop billionair like one hasnt found billionair fund super pac
true,"donald trump cash sept. 11 collect 150,000 feder fund intend help small busi recov even though day attack trump said properti affect"
false,three year ago newli elect presid obama told america congress approv plan borrow nearli trillion dollar would hold unemploy 8
false,independ payment advisori board creat health care reform law like medicar ir power cut medicar order pay new govern program
false,mitchel park dome lose 1 million-plu everi year number peopl go dome go
false,bill legislatur youd go court fire employ
true,littl evid use red light camera new jersey reduc number sever accid intersect use
true,entir public school system camden last year three student graduat colleg readi
true,"nearli 29,000 oregonian almost 5 homeown 90 day delinqu mortgag"
false,hate crime bill `` pastor preacher priest rabbi imam give sermon moral tradit sexual practic could found guilti feder crime ``
false,presid obama said jobless rate would pass stimulu : 5.6
true,georg allen colleagu senat turn biggest surplu histori unit state biggest deficit histori unit state
true,presid obama crack employ attract undocu immigr hire previou presid
true,newt gingrich made affirm statement would support would campaign republican support barbar procedur known partial-birth abort
false,u.s. global aid spend help reduc polit instabl violenc 40 recipi nation
true,told congress 'thank thank ' bridg nowher
true,actual ( construct ) contract weve award date come sever hundr million dollar estim
true,state school fund per pupil 16 compar 2009 adjust inflat
true,unemploy fallen 10 presid first year offic 8.5 today
true,american voter remain steadfast support immigr reform path citizenship 70 want see reform pass year
false,peopl welfar work 2013
false,tammi baldwin introduc bill would requir doctor health care worker ask patient includ young children whether gay lesbian bisexu know gender ident
true,state rep. kristi thibaut acorn lobbyist
true,atlanta 1 trade point sexual slaveri america 100 200 girl sold slaveri atlanta everi month
true,accord nation survey transit ridership among peopl age 16 34 increa 40 2001 2009
true,"fiscal year 2011-2012 4,191 abort paid taxpay via oregon health plan"
false,legisl action taken could well render complet null void deci suprem court expect june
true,im ( republican ) candid actual reduc size govern
